name,M_solar,M_kg,r_m,r_km,r_AU,r_ly,r_pc,r_s_m,r_s_km,x_dimensionless,horizon_ratio,r_ph_m,r_isco_m,inside_photon_sphere,inside_isco,Xi_segment_density,D_ssz_time_dilation,D_gr_time_dilation,stretch_factor,R_ssz_m,R_ssz_km,v_orbital_m_s,v_escape_m_s,v_orbital_ssz_m_s,v_escape_ssz_m_s,v_orbital_km_s,v_escape_km_s,v_orbital_ssz_km_s,v_escape_ssz_km_s,v_orbital_over_c,v_escape_over_c,tau_over_t,z_gr_redshift,z_ssz_redshift,T_orbital_seconds,T_orbital_years,T_orbital_ssz_seconds,T_orbital_ssz_years,g_m_s2,g_earth_g,phi_potential_J_kg,export_timestamp,phi_golden_ratio
Star_0000,2.7119001220e-01,5.3939693427e+29,1.5441742592e+19,1.5441742592e+16,1.0322020449e+08,1.6321469815e+03,5.0042916005e+02,8.0112961651e+02,8.0112961651e-01,1.9274961596e+16,1.9274961596e+16,1.2016944248e+03,2.4033888495e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,3.0883485183e+19,3.0883485183e+16,1.5268941964e+00,2.1593544809e+00,2.1593544809e+00,3.0537883928e+00,1.5268941964e-03,2.1593544809e-03,2.1593544809e-03,3.0537883928e-03,5.0931708108e-09,7.2028312362e-09,0,0.0000000000e+00,inf,6.3542929431e+19,2.0135539278e+12,1.2708585886e+20,4.0271078555e+12,1.5098075059e-19,1.5390494454e-20,-2.3314058870e+00,2025-11-22T13:30:24.706247,1.6180339887e+00
Star_0001,2.5279381180e-01,5.0280689167e+29,5.7844990910e+18,5.7844990910e+15,3.8666437774e+07,6.1140461801e+02,1.8746148657e+02,7.4678491239e+02,7.4678491239e-01,7.7458703236e+15,7.7458703236e+15,1.1201773686e+03,2.2403547372e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.1568998182e+19,1.1568998182e+16,2.4086327886e+00,3.4063211564e+00,3.4063211564e+00,4.8172655771e+00,2.4086327886e-03,3.4063211564e-03,3.4063211564e-03,4.8172655771e-03,8.0343341678e-09,1.1362264345e-08,0,2.2204460493e-16,inf,1.5089506325e+19,4.7815760150e+11,3.0179012650e+19,9.5631520301e+11,1.0029411050e-18,1.0223660601e-19,-5.8015119101e+00,2025-11-22T13:30:24.706247,1.6180339887e+00
Star_0002,4.8604718010e-01,9.6674784122e+29,2.6504884252e+19,2.6504884252e+16,1.7717168618e+08,2.8014886642e+03,8.5895855892e+02,1.4358448817e+03,1.4358448817e+00,1.8459434295e+16,1.8459434295e+16,2.1537673226e+03,4.3075346452e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,5.3009768505e+19,5.3009768505e+16,1.5602583351e+00,2.2065384983e+00,2.2065384983e+00,3.1205166702e+00,1.5602583351e-03,2.2065384983e-03,2.2065384983e-03,3.1205166702e-03,5.2044615982e-09,7.3602201770e-09,0,0.0000000000e+00,inf,1.0673559343e+20,3.3822468576e+12,2.1347118687e+20,6.7644937152e+12,9.1847451549e-20,9.3626352241e-21,-2.4344060722e+00,2025-11-22T13:30:24.706247,1.6180339887e+00
Star_0003,4.6999674430e-01,9.3482352441e+29,1.9062058162e+19,1.9062058162e+16,1.2742017488e+08,2.0148037377e+03,6.1775474486e+02,1.3884298631e+03,1.3884298631e+00,1.3729219364e+16,1.3729219364e+16,2.0826447947e+03,4.1652895894e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,3.8124116324e+19,3.8124116324e+16,1.8091841863e+00,2.5585728130e+00,2.5585728130e+00,3.6183683725e+00,1.8091841863e-03,2.5585728130e-03,2.5585728130e-03,3.6183683725e-03,6.0347888614e-09,8.5344802538e-09,0,2.2204460493e-16,inf,6.6201354554e+19,2.0977943365e+12,1.3240270911e+20,4.1955886730e+12,1.7171007412e-19,1.7503575343e-20,-3.2731474198e+00,2025-11-22T13:30:24.706247,1.6180339887e+00
Star_0004,4.2145463760e-01,8.3827327419e+29,9.7063309155e+18,9.7063309155e+15,6.4881891146e+07,1.0259307595e+03,3.1455847670e+02,1.2450303367e+03,1.2450303367e+00,7.7960597662e+15,7.7960597662e+15,1.8675455050e+03,3.7350910101e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.9412661831e+19,1.9412661831e+16,2.4008671267e+00,3.3953388520e+00,3.3953388520e+00,4.8017342533e+00,2.4008671267e-03,3.3953388520e-03,3.3953388520e-03,4.8017342533e-03,8.0084307079e-09,1.1325631320e-08,0,2.2204460493e-16,inf,2.5401937124e+19,8.0493881424e+11,5.0803874249e+19,1.6098776285e+12,5.9385601109e-19,6.0535780947e-20,-5.7641629598e+00,2025-11-22T13:30:24.706755,1.6180339887e+00
Star_0005,2.9318649140e-01,5.8314793139e+29,1.0696074242e+20,1.0696074242e+17,7.1497822472e+08,1.1305437313e+04,3.4663364040e+03,8.6610999983e+02,8.6610999983e-01,1.2349556343e+17,1.2349556343e+17,1.2991649997e+03,2.5983299995e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,2.1392148484e+20,2.1392148484e+17,6.0322596544e-01,8.5309034150e-01,8.5309034150e-01,1.2064519309e+00,6.0322596544e-04,8.5309034150e-04,8.5309034150e-04,1.2064519309e-03,2.0121452336e-09,2.8456030788e-09,0,0.0000000000e+00,inf,1.1141001941e+21,3.5303704786e+13,2.2282003883e+21,7.0607409571e+13,3.4020104681e-21,3.4679005791e-22,-3.6388156538e-01,2025-11-22T13:30:24.706755,1.6180339887e+00
Star_0006,1.5200657258e+00,3.0234107286e+30,3.0559284316e+19,3.0559284316e+16,2.0427329088e+08,3.2300268804e+03,9.9035176185e+02,4.4904665260e+03,4.4904665260e+00,6.8053695843e+15,6.8053695843e+15,6.7356997890e+03,1.3471399578e+04,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,6.1118568631e+19,6.1118568631e+16,2.5696847503e+00,3.6340830250e+00,3.6340830250e+00,5.1393695007e+00,2.5696847503e-03,3.6340830250e-03,3.6340830250e-03,5.1393695007e-03,8.5715456869e-09,1.2121996161e-08,0,2.2204460493e-16,inf,7.4721090275e+19,2.3677684702e+12,1.4944218055e+20,4.7355369404e+12,2.1608096734e-19,2.2026602175e-20,-6.6032797161e+00,2025-11-22T13:30:24.706755,1.6180339887e+00
Star_0007,2.9509277080e-01,5.8693952112e+29,1.5054563219e+19,1.5054563219e+16,1.0063210708e+08,1.5912232554e+03,4.8788162229e+02,8.7174139043e+02,8.7174139043e-01,1.7269528996e+16,1.7269528996e+16,1.3076120856e+03,2.6152241713e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,3.0109126438e+19,3.0109126438e+16,1.6131154792e+00,2.2812897884e+00,2.2812897884e+00,3.2262309584e+00,1.6131154792e-03,2.2812897884e-03,2.2812897884e-03,3.2262309584e-03,5.3807740527e-09,7.6095636415e-09,0,2.2204460493e-16,inf,5.8638461810e+19,1.8581407271e+12,1.1727692362e+20,3.7162814542e+12,1.7284736272e-19,1.7619506903e-20,-2.6021415493e+00,2025-11-22T13:30:24.706755,1.6180339887e+00
Star_0008,2.3879372330e-01,4.7496071564e+29,7.2171267090e+18,7.2171267090e+15,4.8242825595e+07,7.6282916277e+02,2.3388944839e+02,7.0542687918e+02,7.0542687918e-01,1.0230864349e+16,1.0230864349e+16,1.0581403188e+03,2.1162806375e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,1.4434253418e+19,1.4434253418e+16,2.0957985806e+00,2.9639067768e+00,2.9639067768e+00,4.1915971613e+00,2.0957985806e-03,2.9639067768e-03,2.9639067768e-03,4.1915971613e-03,6.9908315727e-09,9.8865288224e-09,0,2.2204460493e-16,inf,2.1636881004e+19,6.8563138528e+11,4.3273762008e+19,1.3712627706e+12,6.0860393170e-19,6.2039136768e-20,-4.3923716906e+00,2025-11-22T13:30:24.706755,1.6180339887e+00
Star_0009,1.9229041780e-01,3.8246564100e+29,4.9674878562e+19,4.9674878562e+16,3.3205132729e+08,5.2504892255e+03,1.6098414804e+03,5.6805022951e+02,5.6805022951e-01,8.7448038891e+16,8.7448038891e+16,8.5207534426e+02,1.7041506885e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,9.9349757124e+19,9.9349757124e+16,7.1685392565e-01,1.0137845439e+00,1.0137845439e+00,1.4337078513e+00,7.1685392565e-04,1.0137845439e-03,1.0137845439e-03,1.4337078513e-03,2.3911673110e-09,3.3816212411e-09,0,0.0000000000e+00,inf,4.3539758373e+20,1.3796916867e+13,8.7079516746e+20,2.7593833735e+13,1.0344857715e-20,1.0545216835e-21,-5.1387955072e-01,2025-11-22T13:30:24.706755,1.6180339887e+00
Star_0010,1.7356988260e-01,3.4523049649e+29,1.5467844996e+20,1.5467844996e+17,1.0339468580e+09,1.6349059291e+04,5.0127507520e+03,5.1274739935e+02,5.1274739935e-01,3.0166598632e+17,3.0166598632e+17,7.6912109902e+02,1.5382421980e+03,False,False,1.0000000000e+00,0,1.0000000000e+00,2.0000000000e+00,3.0935689991e+20,3.0935689991e+17,3.8596020872e-01,5.4583016171e-01,5.4583016171e-01,7.7192041744e-01,3.8596020872e-04,5.4583016171e-04,5.4583016171e-04,7.7192041744e-04,1.2874246780e-09,1.8206934402e-09,0,0.0000000000e+00,inf,2.5180662207e+21,7.9792703522e+13,5.0361324414e+21,1.5958540704e+14,9.6306423265e-22,9.8171685285e-23,-1.4896528271e-01,2025-11-22T13:30:24.707255,1.6180339887e+00
